Batch, Algorithm, Group, Mean, Samples, Variance
80, ab, control, 0.366259, 3189, 0.232186
80, bandit, control, 0.410560, 5322, 0.242046
80, ab, test, 0.196090, 4911, 0.157671
80, bandit, test, 0.195824, 2778, 0.157534
81, ab, control, 0.365914, 3233, 0.232093
81, bandit, control, 0.410313, 5391, 0.242001
81, ab, test, 0.196900, 4967, 0.158162
81, bandit, test, 0.196867, 2809, 0.158167
82, ab, control, 0.366636, 3273, 0.232285
82, bandit, control, 0.410524, 5454, 0.242038
82, ab, test, 0.197931, 5027, 0.158786
82, bandit, test, 0.195713, 2846, 0.157465
83, ab, control, 0.365367, 3309, 0.231944
83, bandit, control, 0.411135, 5514, 0.242147
83, ab, test, 0.197604, 5091, 0.158588
83, bandit, test, 0.195426, 2886, 0.157289
84, ab, control, 0.365269, 3340, 0.231917
84, bandit, control, 0.410160, 5571, 0.241972
84, ab, test, 0.198643, 5160, 0.159215
84, bandit, test, 0.195971, 2929, 0.157620
85, ab, control, 0.367021, 3384, 0.232385
85, bandit, control, 0.410679, 5637, 0.242065
85, ab, test, 0.198044, 5216, 0.158853
85, bandit, test, 0.195410, 2963, 0.157278
86, ab, control, 0.368483, 3414, 0.232771
86, bandit, control, 0.411113, 5687, 0.242142
86, ab, test, 0.197692, 5286, 0.158640
86, bandit, test, 0.195486, 3013, 0.157324
87, ab, control, 0.369974, 3457, 0.233161
87, bandit, control, 0.410783, 5750, 0.242082
87, ab, test, 0.198016, 5343, 0.158835
87, bandit, test, 0.196393, 3050, 0.157875
88, ab, control, 0.370317, 3497, 0.233249
88, bandit, control, 0.410631, 5813, 0.242055
88, ab, test, 0.197298, 5403, 0.158401
88, bandit, test, 0.195011, 3087, 0.157033
89, ab, control, 0.372244, 3538, 0.233745
89, bandit, control, 0.410654, 5876, 0.242058
89, ab, test, 0.196814, 5462, 0.158107
89, bandit, test, 0.193662, 3124, 0.156207
90, ab, control, 0.372768, 3584, 0.233877
90, bandit, control, 0.410498, 5944, 0.242030
90, ab, test, 0.197788, 5516, 0.158697
90, bandit, test, 0.194550, 3156, 0.156750
91, ab, control, 0.372517, 3624, 0.233812
91, bandit, control, 0.410090, 6006, 0.241956
91, ab, test, 0.197991, 5576, 0.158819
91, bandit, test, 0.193801, 3194, 0.156291
92, ab, control, 0.372303, 3661, 0.233757
92, bandit, control, 0.410020, 6068, 0.241943
92, ab, test, 0.198262, 5639, 0.158982
92, bandit, test, 0.193379, 3232, 0.156032
93, ab, control, 0.371829, 3706, 0.233635
93, bandit, control, 0.409513, 6139, 0.241851
93, ab, test, 0.198103, 5694, 0.158886
93, bandit, test, 0.194419, 3261, 0.156668
94, ab, control, 0.372773, 3761, 0.233876
94, bandit, control, 0.410372, 6209, 0.242006
94, ab, test, 0.197595, 5739, 0.158579
94, bandit, test, 0.194774, 3291, 0.156885
95, ab, control, 0.371451, 3804, 0.233537
95, bandit, control, 0.410236, 6272, 0.241981
95, ab, test, 0.196860, 5796, 0.158133
95, bandit, test, 0.194712, 3328, 0.156846
96, ab, control, 0.371488, 3844, 0.233545
96, bandit, control, 0.409852, 6334, 0.241911
96, ab, test, 0.196892, 5856, 0.158153
96, bandit, test, 0.194593, 3366, 0.156773
97, ab, control, 0.370418, 3874, 0.233269
97, bandit, control, 0.410597, 6398, 0.242045
97, ab, test, 0.197604, 5926, 0.158583
97, bandit, test, 0.195179, 3402, 0.157131
98, ab, control, 0.371648, 3915, 0.233585
98, bandit, control, 0.410609, 6466, 0.242047
98, ab, test, 0.197661, 5985, 0.158618
98, bandit, test, 0.194817, 3434, 0.156909
99, ab, control, 0.371940, 3963, 0.233660
99, bandit, control, 0.410963, 6531, 0.242110
99, ab, test, 0.197283, 6037, 0.158389
99, bandit, test, 0.196887, 3469, 0.158168
100, ab, control, 0.373224, 4011, 0.233986
100, bandit, control, 0.410427, 6598, 0.242013
100, ab, test, 0.197734, 6089, 0.158661
100, bandit, test, 0.197601, 3502, 0.158600
101, ab, control, 0.374289, 4045, 0.234255
101, bandit, control, 0.410899, 6661, 0.242097
101, ab, test, 0.197400, 6155, 0.158459
101, bandit, test, 0.198644, 3539, 0.159229
102, ab, control, 0.375275, 4085, 0.234501
102, bandit, control, 0.411389, 6726, 0.242184
102, ab, test, 0.196943, 6215, 0.158182
102, bandit, test, 0.198377, 3574, 0.159068
103, ab, control, 0.374909, 4121, 0.234409
103, bandit, control, 0.411219, 6792, 0.242154
103, ab, test, 0.196687, 6279, 0.158027
103, bandit, test, 0.198171, 3608, 0.158943
104, ab, control, 0.375720, 4168, 0.234611
104, bandit, control, 0.410264, 6859, 0.241983
104, ab, test, 0.197410, 6332, 0.158464
104, bandit, test, 0.198297, 3641, 0.159019
105, ab, control, 0.374702, 4198, 0.234356
105, bandit, control, 0.409656, 6918, 0.241873
105, ab, test, 0.196657, 6402, 0.158008
105, bandit, test, 0.197990, 3682, 0.158833
106, ab, control, 0.374114, 4234, 0.234208
106, bandit, control, 0.409136, 6983, 0.241778
106, ab, test, 0.195639, 6466, 0.157389
106, bandit, test, 0.197740, 3717, 0.158682
107, ab, control, 0.373976, 4273, 0.234173
107, bandit, control, 0.408079, 7055, 0.241585
107, ab, test, 0.195649, 6527, 0.157394
107, bandit, test, 0.197864, 3745, 0.158756
108, ab, control, 0.374334, 4317, 0.234262
108, bandit, control, 0.407756, 7117, 0.241525
108, ab, test, 0.195352, 6583, 0.157213
108, bandit, test, 0.197727, 3783, 0.158673
109, ab, control, 0.374770, 4352, 0.234371
109, bandit, control, 0.407072, 7183, 0.241398
109, ab, test, 0.194495, 6648, 0.156690
109, bandit, test, 0.198061, 3817, 0.158875
110, ab, control, 0.375570, 4388, 0.234571
110, bandit, control, 0.408006, 7245, 0.241570
110, ab, test, 0.194130, 6712, 0.156467
110, bandit, test, 0.197925, 3855, 0.158792
111, ab, control, 0.376273, 4417, 0.234745
111, bandit, control, 0.407509, 7298, 0.241478
111, ab, test, 0.194457, 6783, 0.156666
111, bandit, test, 0.197591, 3902, 0.158589
112, ab, control, 0.376597, 4461, 0.234824
112, bandit, control, 0.407528, 7359, 0.241482
112, ab, test, 0.194765, 6839, 0.156855
112, bandit, test, 0.197158, 3941, 0.158327
